First_column,Second_column,Third_column,Fourth_column,Fifth_column,Sixth_column,Seventh_column,Eighth_column
space,1825629,297999.625,0.12815697569834583,297999.625,0.12815697569834583,188171.38379239626,0.12815697703061346
-,144244,297999.625,-0.012898989432130747,297999.625,-0.012898989432130747,206732.1963060922,-0.012898988543952328
1,64399,297999.625,-0.01959740414392286,297999.625,-0.01959740414392286,213006.32754913426,-0.01959740325574444
0,56409,297999.625,-0.020267707512289235,297999.625,-0.020267707512289235,211412.55174962457,-0.020267706180021605
3,18868,297999.625,-0.02341712335152124,297999.625,-0.02341712335152124,216244.5413249077,-0.02341712379561045
2,42933,297999.625,-0.021398245397818982,297999.625,-0.021398245397818982,214616.98293483237,-0.021398246730086612
5,17980,297999.625,-0.023491620648741218,297999.625,-0.023491620648741218,219550.43609359307,-0.023491620648741218
4,16586,297999.625,-0.023608566657173924,297999.625,-0.023608566657173924,217889.02122032392,-0.023608566657173924
7,14817,297999.625,-0.023756972833410828,297999.625,-0.023756972833410828,222924.09886650342,-0.023756974609767667
6,14890,297999.625,-0.023750849287296205,297999.625,-0.023750849287296205,221228.79427929228,-0.023750848399117785
9,35025,297999.625,-0.02206166893614636,297999.625,-0.02206166893614636,226365.5327438767,-0.02206167026841399
8,18006,297999.625,-0.023489439282542435,297999.625,-0.023489439282542435,224636.34759335878,-0.023489439726631645
E,1,297999.625,-0.02499992746152202,297999.625,-0.02499992746152202,248426.12576013134,-0.02499992834970044
U,0,297999.625,-0.02500001183847189,297999.625,-0.02500001183847189,281438.7194387121,-0.02500001317073952
a,838467,297999.625,0.045341268073428864,297999.625,0.045341268073428864,308575.46301915805,0.045341266741161235
c,350426,297999.625,0.004398179598297247,297999.625,0.004398179598297247,313266.559883329,0.004398180930564877
b,209099,297999.625,-0.00745812744895602,297999.625,-0.00745812744895602,310915.5601398073,-0.0074581261166883905
e,1117871,297999.625,0.06878123004483427,297999.625,0.06878123004483427,318000.14286872675,0.06878123004483427
d,361743,297999.625,0.005347593035054388,297999.625,0.005347593035054388,315628.18249185313,0.005347592146875968
g,193420,297999.625,-0.008773481496859858,297999.625,-0.008773481496859858,322773.910677659,-0.008773481052770649
f,210181,297999.625,-0.0073673551703734574,297999.625,-0.0073673551703734574,320382.1507160222,-0.007367354282195038
i,727156,297999.625,0.036003084513680506,297999.625,0.036003084513680506,327585.4811256679,0.036003084513680506
h,413422,297999.625,0.00968308544457841,297999.625,0.00968308544457841,325175.122487987,0.00968308366822157
k,79756,297999.625,-0.0183090640426542,297999.625,-0.0183090640426542,332432.39597829524,-0.01830906537492183
j,24136,297999.625,-0.022975177316197914,297999.625,-0.022975177316197914,330004.6769726847,-0.022975176872108705
m,255513,297999.625,-0.003564330164351759,297999.625,-0.003564330164351759,337312.1261155114,-0.0035643337170654377
l,440517,297999.625,0.011956158729731214,297999.625,0.011956158729731214,334868.3198277412,0.011956157397463585
o,680723,297999.625,0.03210769428108051,297999.625,0.03210769428108051,342222.0770000067,0.03210769561334814
n,709904,297999.625,0.03455576758071288,297999.625,0.03455576758071288,339763.4885229518,0.03455576758071288
q,8294,297999.625,-0.024304206203140666,297999.625,-0.024304206203140666,347159.5944232979,-0.024304207535408295
p,203438,297999.625,-0.007933044443575454,297999.625,-0.007933044443575454,344687.55795086746,-0.007933046219932294
s,635966,297999.625,0.028352907133211147,297999.625,0.028352907133211147,352121.9705015816,0.028352907133211147
r,707509,297999.625,0.03435484474678674,297999.625,0.03435484474678674,349637.8463014009,0.03435484252634069
u,253544,297999.625,-0.0037295158072936374,297999.625,-0.0037295158072936374,357106.44989148586,-0.003729516695472057
t,793448,297999.625,0.04156450117420718,297999.625,0.04156450117420718,354611.6211714612,0.04156449984193955
w,149627,297999.625,-0.012447395558723429,297999.625,-0.012447395558723429,362110.2361943507,-0.012447396002812638
v,101642,297999.625,-0.016472987862670152,297999.625,-0.016472987862670152,359606.1058789756,-0.016472986974491732
y,148058,297999.625,-0.012579022712344567,297999.625,-0.012579022712344567,367130.49851642776,-0.012579024044612197
x,20274,297999.625,-0.023299171036939015,297999.625,-0.023299171036939015,364618.4859492719,-0.023299170592849805
z,16064,297999.625,-0.023652359626424868,297999.625,-0.023652359626424868,369645.9157406995,-0.023652359626424868
