First_column,Second_column,Third_column,Fourth_column,Fifth_column,Sixth_column,Seventh_column,Eighth_column
-x,12,7449.990625,-0.0006239746497271881,7449.990625,-0.0006239746497271881,14273.01337126989,-0.0006239702088350896
tz,979,7449.990625,-0.0005428493210501983,7449.990625,-0.0005428493210501983,8952.544094176297,-0.0005428439919796801
tx,60,7449.990625,-0.0006199476487722677,7449.990625,-0.0006199476487722677,8694.084760311847,-0.0006199405433449101
-b,2118,7449.990625,-0.00044729642212359977,7449.990625,-0.00044729642212359977,10633.288469853402,-0.00044729020487466187
tv,907,7449.990625,-0.0005488898224825789,7449.990625,-0.0005488898224825789,8441.706651459237,-0.0005488880461257395
tw,6694,7449.990625,-6.340261649029344e-05,7449.990625,-6.340261649029344e-05,8567.135095554335,-6.340084013345404e-05
-o,1299,7449.990625,-0.0005160032401363424,7449.990625,-0.0005160032401363424,12709.219652052589,-0.0005160005756010833
9i,113,7449.990625,-0.0006155014276032489,7449.990625,-0.0006155014276032489,10833.659607627249,-0.0006155005394248292
9h,103,7449.990625,-0.0006163389798530261,7449.990625,-0.0006163389798530261,10680.76612033376,-0.0006163345389609276
9k,19,7449.990625,-0.0006233857874349269,7449.990625,-0.0006233857874349269,11143.840419042403,-0.0006233848992565072
-n,728,7449.990625,-0.0005639071432028686,7449.990625,-0.0005639071432028686,12541.464250351537,-0.0005639027023107701
9m,47,7449.990625,-0.0006210374436932398,7449.990625,-0.0006210374436932398,11459.787239525855,-0.0006210321146227216
9l,132,7449.990625,-0.0006139062591614675,7449.990625,-0.0006139062591614675,11301.100387278655,-0.000613901818269369
9o,26,7449.990625,-0.0006227987014995051,7449.990625,-0.0006227987014995051,11781.378641958634,-0.0006227942606074066
9n,50,7449.990625,-0.0006207860892004646,7449.990625,-0.0006207860892004646,11619.885422793657,-0.000620778983773107
9a,130,7449.990625,-0.0006140750130612105,7449.990625,-0.0006140750130612105,9652.603221628402,-0.0006140661312770135
-i,1217,7449.990625,-0.0005228821819969198,7449.990625,-0.0005228821819969198,11722.256557273422,-0.0005228759647479819
9c,117,7449.990625,-0.0006151648079821825,7449.990625,-0.0006151648079821825,9938.74689336351,-0.0006151612552685037
9b,61,7449.990625,-0.0006198623836439765,7449.990625,-0.0006198623836439765,9794.904583437941,-0.0006198552782166189
9e,81,7449.990625,-0.0006181863909660024,7449.990625,-0.0006181863909660024,10231.021587959078,-0.0006181810618954842
9d,57,7449.990625,-0.0006201981150866231,7449.990625,-0.0006201981150866231,10084.122147197411,-0.0006201918978376852
9g,49,7449.990625,-0.0006208686897934967,7449.990625,-0.0006208686897934967,10529.354223365543,-0.0006208651370798179
-h,1024,7449.990625,-0.0005390736745880531,7449.990625,-0.0005390736745880531,11562.45666109364,-0.0005390692336959546
9y,42,7449.990625,-0.0006214566639073382,7449.990625,-0.0006214566639073382,13468.936193243644,-0.0006214504466584003
9x,11,7449.990625,-0.0006240563621418005,7449.990625,-0.0006240563621418005,13294.546960362306,-0.0006240528094281217
9z,1,7449.990625,-0.0006248965789268368,7449.990625,-0.0006248965789268368,13644.494462027147,-0.0006248912498563186
-k,637,7449.990625,-0.0005715410367201912,7449.990625,-0.0005715410367201912,12045.95066199097,-0.0005715339312928336
9q,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,12108.481331886162,-0.0006249756268061901
9p,132,7449.990625,-0.0006139062591614675,7449.990625,-0.0006139062591614675,11944.249865467431,-0.0006138964891988508
9s,111,7449.990625,-0.0006156675169677328,7449.990625,-0.0006156675169677328,12440.95034349597,-0.0006156630760756343
9r,80,7449.990625,-0.0006182689915590345,7449.990625,-0.0006182689915590345,12274.054557291365,-0.0006182672152021951
9u,6,7449.990625,-0.0006244764705343187,7449.990625,-0.0006244764705343187,12778.629289370849,-0.0006244746941774793
9t,428,7449.990625,-0.0005890754550819111,7449.990625,-0.0005890754550819111,12609.148787102093,-0.0005890674614761338
9w,29,7449.990625,-0.0006225482351851497,7449.990625,-0.0006225482351851497,13121.350663079906,-0.0006225429061146315
9v,1,7449.990625,-0.0006248965789268368,7449.990625,-0.0006248965789268368,12949.370566897656,-0.0006248894734994792
-u,571,7449.990625,-0.0005770770528101821,7449.990625,-0.0005770770528101821,13741.430279883098,-0.0005770717237396639
mspace,32050,7449.990625,0.0020637811459778277,7449.990625,0.0020637811459778277,2538.9336669914505,0.002063785586869926
-t,2421,7449.990625,-0.0004218758675733625,7449.990625,-0.0004218758675733625,13566.449559208702,-0.0004218732030381034
m-,311,7449.990625,-0.0005988898266195974,7449.990625,-0.0005988898266195974,3009.7546028785714,-0.0005988862739059186
9E,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,6303.930401148885,-0.0006249774031630295
-w,1067,7449.990625,-0.0005354667820256509,7449.990625,-0.0005354667820256509,14094.73718050104,-0.0005354632293119721
m5,39,7449.990625,-0.0006217089065785331,7449.990625,-0.0006217089065785331,3362.092053000497,-0.0006217009129727558
m4,53,7449.990625,-0.0006205338465292698,7449.990625,-0.0006205338465292698,3315.1374175150895,-0.0006205311819940107
m7,19,7449.990625,-0.0006233857874349269,7449.990625,-0.0006233857874349269,3458.634973783787,-0.0006233813465428284
-v,180,7449.990625,-0.0006098792582065471,7449.990625,-0.0006098792582065471,13917.534389768625,-0.0006098757054928683
m1,200,7449.990625,-0.0006082014891717336,7449.990625,-0.0006082014891717336,3179.374802042086,-0.0006081988246364745
m0,16,7449.990625,-0.0006236380301061217,7449.990625,-0.0006236380301061217,3135.775528133177,-0.0006236327010356035
m3,63,7449.990625,-0.0006196954061010729,7449.990625,-0.0006196954061010729,3269.042151565424,-0.0006196865243168759
m2,500,7449.990625,-0.0005830331772926911,7449.990625,-0.0005830331772926911,3223.7924967654935,-0.0005830287364005926
-q,45,7449.990625,-0.0006212053094145631,7449.990625,-0.0006212053094145631,13048.485914129868,-0.0006211964276303661
m9,11,7449.990625,-0.0006240563621418005,7449.990625,-0.0006240563621418005,3558.7829389848293,-0.0006240483685360232
m8,9,7449.990625,-0.0006242251160415435,7449.990625,-0.0006242251160415435,3508.2512680865652,-0.0006242153460789268
tk,545,7449.990625,-0.0005792593071873853,7449.990625,-0.0005792593071873853,7162.013447597559,-0.0005792539781168671
mE,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,4241.798181571681,-0.000624972962270931
9-,193,7449.990625,-0.000608789463285575,7449.990625,-0.000608789463285575,4351.407697821412,-0.0006087832460366371
-s,3426,7449.990625,-0.0003375637547264887,7449.990625,-0.0003375637547264887,13392.616348430802,-0.0003375566492991311
9space,5656,7449.990625,-0.00015048318147137252,7449.990625,-0.00015048318147137252,3586.0035256391047,-0.00015047785240085432
ti,90557,7449.990625,0.006972093125057199,7449.990625,0.006972093125057199,6948.834538032855,0.006972094901414039
99,5670,7449.990625,-0.00014930900960052895,7449.990625,-0.00014930900960052895,5231.523739405633,-0.00014930723324368955
98,4481,7449.990625,-0.0002490567752033712,7449.990625,-0.0002490567752033712,5151.160391928423,-0.0002490523343112727
91,1536,7449.990625,-0.000496121366211355,7449.990625,-0.000496121366211355,4624.899369241938,-0.000496118701676096
90,1824,7449.990625,-0.00047195936048183285,7449.990625,-0.00047195936048183285,4554.7291928810255,-0.00047195491958973435
93,1621,7449.990625,-0.0004889901816795827,7449.990625,-0.0004889901816795827,4768.923950690586,-0.0004889830762522251
92,1537,7449.990625,-0.0004960378774399032,7449.990625,-0.0004960378774399032,4696.29267703416,-0.0004960316601909653
95,2290,7449.990625,-0.00043286618733873183,7449.990625,-0.00043286618733873183,4917.95915851092,-0.00043286174644663333
94,2003,7449.990625,-0.00045694381611838253,7449.990625,-0.00045694381611838253,4842.807912369739,-0.00045693937522628403
97,3447,7449.990625,-0.00033580249692022335,7449.990625,-0.00033580249692022335,5072.121178650406,-0.00033579805602812485
96,2855,7449.990625,-0.00038546765779301495,7449.990625,-0.00038546765779301495,4994.392146099158,-0.00038546144054407705
me,61970,7449.990625,0.004573852407929735,7449.990625,0.004573852407929735,6904.577329202436,0.0045738595133570925
md,444,7449.990625,-0.0005877325293113245,7449.990625,-0.0005877325293113245,6799.978927429868,-0.0005877263120623866
mg,171,7449.990625,-0.0006106342098632922,7449.990625,-0.0006106342098632922,7118.257061462538,-0.0006106253280790952
